frontal_theta,frontal_alpha,frontal_beta,frontal_delta,frontal_gamma,parietal_theta,parietal_alpha,parietal_beta,global_alpha,global_beta,global_theta,roi_ab_ratio,theta_beta_ratio,global_ab_ratio,roi_alpha_rel,roi_beta_rel,global_alpha_rel,global_beta_rel,subject,session,task,workload,epoch,filename,ica_components_removed
4.2948947256636233e-11,1.0442964730148133e-11,7.267516812294892e-12,2.513739079851949e-10,2.137200851324922e-12,9.244768551136566e-11,6.899626240595122e-11,2.104468999213383e-11,3.5537235162635174e-11,1.3172019603654436e-11,6.416269222294884e-11,9.493787794095795,5.909714193433572,2.6979336678770007,0.9047055248665655,0.09529447513343448,0.7295787080534345,0.2704212919465654,sub-01,ses-S1,Flanker,Medium,10,Flanker,7
3.848960169403249e-11,1.176761903265849e-11,6.201063498581413e-12,2.7227382530526926e-10,1.6036657947146137e-12,7.319270626526089e-11,1.0022054165019219e-10,2.306924186588633e-11,4.967601444017293e-11,1.3430282798854952e-11,5.336236079598752e-11,16.161831220260712,6.206935584974668,3.6988062860752446,0.9417311598531845,0.05826884014681556,0.7871799901682548,0.21282000983174526,sub-01,ses-S1,Flanker,Medium,11,Flanker,7
3.2955715406951054e-11,1.5127558129712398e-11,6.6938084771559046e-12,2.1837019187597476e-10,2.0929551439443974e-12,6.213370272449318e-11,7.818470038382485e-11,2.0541908796500342e-11,4.2152047667189164e-11,1.2628708614017804e-11,4.546056711446911e-11,11.680151986816975,4.923313166102629,3.3377955700395687,0.9211365919714797,0.07886340802852035,0.7694681586871375,0.23053184131286258,sub-01,ses-S1,Flanker,Medium,12,Flanker,7
3.2351678485780694e-11,1.0511512571407609e-11,8.033998649844262e-12,2.456854073847092e-10,3.697866671866915e-12,6.30833319352408e-11,8.271855397306834e-11,2.167891917293423e-11,4.1457387457833647e-11,1.3881821731168534e-11,4.552238710697789e-11,10.29606271774415,4.026846393160375,2.9864515090804207,0.9114735793358182,0.08852642066418187,0.7491503414196361,0.2508496585803639,sub-01,ses-S1,Flanker,Medium,13,Flanker,7
2.5994404583857385e-11,1.1155772293473268e-11,5.217120428664926e-12,2.408476706900784e-10,1.3311773777219819e-12,5.7170105816170894e-11,9.812960475685523e-11,1.696472658922317e-11,4.8430271920636973e-11,1.025180878318989e-11,3.9355419397706033e-11,18.809150775529798,4.982519560222117,4.724070936637945,0.9495182801457952,0.050481719854204854,0.8252991601485369,0.1747008398514631,sub-01,ses-S1,Flanker,Medium,14,Flanker,7
5.234651215919321e-11,1.1318917111012483e-11,7.341030576606461e-12,3.3152970141335926e-10,2.640564599972521e-12,9.999674300330666e-11,6.522979372080249e-11,1.999281001065962e-11,3.44235785152082e-11,1.2763221762629245e-11,7.276803966381325e-11,8.885645283738388,7.13067621949498,2.6970916243107634,0.8988432245647159,0.10115677543528416,0.7295171173404645,0.2704828826595356,sub-01,ses-S1,Flanker,Medium,15,Flanker,7
1.941249482056886e-11,8.313751001070432e-12,5.936973672995006e-12,1.408584713746069e-10,1.7546565328240536e-12,4.3162744226507523e-11,6.119743549704255e-11,1.8767085214905033e-11,3.097818721362991e-11,1.1435592905242162e-11,2.959117313739972e-11,10.307850239492552,3.2697626585188986,2.7089270727212815,0.9115658609885449,0.08843413901145508,0.7303802473349015,0.2696197526650986,sub-01,ses-S1,Flanker,Medium,16,Flanker,7
4.652533615989334e-11,9.076572307396185e-12,9.973574884373433e-12,2.6852180744665e-10,5.48556857676915e-12,8.193866287683309e-11,4.851593848365224e-11,2.0745251099168084e-11,2.597915781150592e-11,1.4590007547856857e-11,6.170247618143895e-11,4.86444820900346,4.6648605639678005,1.780613048094141,0.8294809734247905,0.17051902657520937,0.6403670763591469,0.35963292364085314,sub-01,ses-S1,Flanker,Medium,17,Flanker,7
2.2022128131348603e-11,7.891822800404107e-12,7.485233622355299e-12,1.6710213529072743e-10,3.641706928970874e-12,4.6799820846577134e-11,6.406445422875555e-11,1.7253550184554738e-11,3.196580769826901e-11,1.1671655006155057e-11,3.264113929501798e-11,8.558778183946258,2.942076258725928,2.738755359151021,0.8953841191043144,0.10461588089568565,0.7325313095032046,0.2674686904967955,sub-01,ses-S1,Flanker,Medium,18,Flanker,7
2.508780072955598e-11,1.0679515802228663e-11,7.495768545735729e-12,1.3369042145201048e-10,2.4763337938758342e-12,5.813858750352609e-11,7.356491472637309e-11,1.870419012298113e-11,3.763040105543342e-11,1.2299377793126615e-11,3.925242363268602e-11,9.814192404356383,3.3469284138753443,3.0595369691353653,0.9075289247121995,0.09247107528780055,0.7536664876800004,0.24633351231999953,sub-01,ses-S1,Flanker,Medium,19,Flanker,7
1.5800084357241002e-11,7.266156387219581e-12,7.306471613120445e-12,5.128563002914644e-11,4.380314100938465e-12,4.9781414577063436e-11,2.3383434907879865e-11,1.8734082095936353e-11,1.4173561467502559e-11,1.2204018962898692e-11,3.036351159430776e-11,3.2003730591233044,2.1624780323334627,1.1613847463357319,0.7619259085028226,0.23807409149717726,0.5373336460825249,0.4626663539174752,sub-01,ses-S1,MATB,High,0,MATBdiff,9
2.343884457255921e-11,7.388869577207119e-12,6.490693638876036e-12,5.1028592567366464e-11,2.0601194009731626e-12,5.527517683076468e-11,1.9836128001258985e-11,1.7346581136521867e-11,1.2723408901800778e-11,1.114321685215282e-11,3.708298696893298e-11,3.0560875470150703,3.6111463391481236,1.141807529245262,0.7534569980532315,0.2465430019467685,0.5331046387943255,0.4668953612056746,sub-01,ses-S1,MATB,High,1,MATBdiff,9
1.8514500041882008e-11,7.437626799817089e-12,6.639589399433221e-12,4.827562211422146e-11,2.136510235044171e-12,4.7991848713069407e-11,2.10212776496436e-11,1.6699733006310485e-11,1.3259191449742734e-11,1.0951079516666335e-11,3.114764947239089e-11,3.1660508481801677,2.788500753293942,1.2107656993599314,0.7599645236118939,0.2400354763881061,0.5476680318092851,0.45233196819071486,sub-01,ses-S1,MATB,High,2,MATBdiff,9
2.653317085299241e-11,8.998573206259827e-12,7.860464559990591e-12,5.505208337674139e-11,2.700247503300105e-12,6.343777909096295e-11,2.647035750288079e-11,2.1088533733678596e-11,1.6486480761954523e-11,1.3529637062999736e-11,4.2349431526408354e-11,3.3675309265579174,3.375521974622855,1.2185456775511765,0.771037683117654,0.22896231688234595,0.5492542659280305,0.4507457340719695,sub-01,ses-S1,MATB,High,3,MATBdiff,9
2.150964703976682e-11,8.3972737955264e-12,7.311290639068697e-12,5.641225260251277e-11,2.6270854483877895e-12,5.89324936183972e-11,2.389029488938357e-11,1.9498884056900293e-11,1.5037139978608044e-11,1.2534544960996524e-11,3.754800985917984e-11,3.267589276470985,2.9419767455047707,1.199655833171351,0.7656756695136009,0.2343243304863991,0.54538342547968,0.45461657452031995,sub-01,ses-S1,MATB,High,4,MATBdiff,9
2.156244159476537e-11,7.765469525701361e-12,7.41334451552399e-12,4.1129472400840755e-11,2.385516856510268e-12,4.835342870955663e-11,2.54035106009965e-11,2.102071479023695e-11,1.532462998654214e-11,1.3245074633258116e-11,3.30442932153902e-11,3.4267273762604744,2.9085983458090094,1.1570059369890073,0.7740994836585665,0.2259005163414334,0.5363944146598348,0.46360558534016505,sub-01,ses-S1,MATB,High,5,MATBdiff,9
3.178607405877295e-11,7.870505021337384e-12,7.393148752264389e-12,5.671937422491564e-11,2.3550177804449973e-12,6.623509991328304e-11,2.4775045040797695e-11,1.9668767279783115e-11,1.5115307886820374e-11,1.2654128121200984e-11,4.654994228213441e-11,3.35108163936368,4.299395984564418,1.1944961946051327,0.7701720898653963,0.2298279101346037,0.5443145436030545,0.45568545639694547,sub-01,ses-S1,MATB,High,6,MATBdiff,9
1.940982296698096e-11,6.811077444201692e-12,6.928170674115379e-12,4.477774849537412e-11,2.738785201737697e-12,4.790561400007089e-11,1.9186008110244215e-11,1.8744550620904558e-11,1.2114619158219915e-11,1.19923335084536e-11,3.162230483830522e-11,2.7692747498161157,2.8015797935664013,1.010196985405727,0.7346969731912525,0.2653030268087475,0.5025363149680748,0.49746368503192506,sub-01,ses-S1,MATB,High,7,MATBdiff,9
2.914637367980244e-11,7.424549482769477e-12,7.16507808871999e-12,5.967092187044086e-11,2.369539654382888e-12,7.117723727968628e-11,2.2045135982613818e-11,1.7836900848111174e-11,1.3690515125559912e-11,1.1738716414173356e-11,4.715960093689551e-11,3.0767474840671394,4.067837547463396,1.1662701987612505,0.7547064163507236,0.2452935836492764,0.5383770683030052,0.4616229316969948,sub-01,ses-S1,MATB,High,8,MATBdiff,9
8.999480893446544e-12,4.600041549553741e-12,5.023862461132116e-12,1.6000904270712308e-11,1.672810559722967e-12,2.143465290767497e-11,1.95101156665066e-11,1.519831586417853e-11,1.0990073313962112e-11,9.38434249100915e-12,1.4328840328115869e-11,3.8834892112293296,1.7913469891089597,1.1711074403445274,0.795228379393047,0.20477162060695292,0.5394055672153597,0.46059443278464035,sub-01,ses-S1,MATB,Low,0,MATBeasy,6
1.1885063813222732e-11,5.161018463562664e-12,4.764596674897474e-12,1.4608171125193892e-11,1.4656337471708705e-12,3.021304394342122e-11,1.776488200640245e-11,1.480537116541877e-11,1.0562674267636857e-11,9.067785742263744e-12,1.9739912440450653e-11,3.7285174839662,2.4944532820248586,1.1648570629989234,0.7885172248192224,0.2114827751807776,0.5380757385364165,0.46192426146358345,sub-01,ses-S1,MATB,Low,1,MATBeasy,6
1.3098749818830656e-11,6.403344430943827e-12,6.273391815384496e-12,1.915783732168575e-11,1.534407678240026e-12,2.9663540731289596e-11,2.015342370968427e-11,1.8356344738035353e-11,1.2296235550404017e-11,1.1451800210806291e-11,2.01979459241702e-11,3.212524309459072,2.087985288390254,1.073738217926723,0.7626126458773101,0.2373873541226898,0.5177790565099496,0.48222094349005035,sub-01,ses-S1,MATB,Low,2,MATBeasy,6
1.3581694651006646e-11,5.019080462134623e-12,5.387511256573945e-12,1.8925770229876947e-11,1.4681308494498496e-12,2.7691483413375297e-11,2.1973551866900188e-11,1.6695974048887147e-11,1.2285282492748437e-11,1.0233995310422462e-11,1.9628746977736067e-11,4.078608994104214,2.520958937103658,1.2004385501561556,0.8030956899495698,0.1969043100504303,0.5455451369323473,0.4544548630676527,sub-01,ses-S1,MATB,Low,3,MATBeasy,6
1.1790144184882857e-11,5.427697606659468e-12,5.169907653913246e-12,1.44021256351643e-11,1.3147291747720208e-12,3.05546379476326e-11,1.917277331612336e-11,1.484761089956881e-11,1.131844433928685e-11,9.317494759194201e-12,1.9832070083204176e-11,3.7085330337788447,2.280532840070861,1.2147518868329041,0.7876196274240753,0.21238037257592468,0.5484821546173281,0.45151784538267187,sub-01,ses-S1,MATB,Low,4,MATBeasy,6
1.0652505361979783e-11,7.360759920926232e-12,5.225971280530944e-12,2.083620679672878e-11,1.4490472484201424e-12,2.8888687307733106e-11,2.3209252073263065e-11,1.5303965541673776e-11,1.4152970843356304e-11,9.545111678163585e-12,1.8468011910159783e-11,4.441136551922472,2.0383780909139473,1.4827454429615683,0.8162148678943413,0.18378513210565872,0.5972200843888612,0.40277991561113885,sub-01,ses-S1,MATB,Low,5,MATBeasy,6
1.2213367954714625e-11,5.959089011301636e-12,5.1867731660011235e-12,1.867756504438711e-11,1.3819802603710167e-12,3.261287164261708e-11,2.585050845381357e-11,1.5027829478406747e-11,1.4483983058092463e-11,9.404368728460677e-12,2.0956012392387108e-11,4.983928856434584,2.354714109105881,1.540133471612956,0.8328857137188908,0.16711428628110928,0.6063198996527489,0.3936801003472512,sub-01,ses-S1,MATB,Low,6,MATBeasy,6
7.947467564894927e-12,4.7644676154438744e-12,4.415315499068262e-12,1.304105425745663e-11,1.3959487043546083e-12,1.7691961796967175e-11,1.7352349902186306e-11,1.2212835427521329e-11,1.0159274309762057e-11,7.757109754119577e-12,1.2123679378640176e-11,3.930036235428265,1.7999772760456267,1.3096726270202326,0.7971617342660097,0.20283826573399039,0.567038207795654,0.43296179220434605,sub-01,ses-S1,MATB,Low,7,MATBeasy,6
8.029058036509658e-12,4.613642212231119e-12,4.214871851910449e-12,1.5241448281025294e-11,1.2983589634870833e-12,2.1004885762891887e-11,2.1811194473607486e-11,1.2915751803869665e-11,1.198402175282099e-11,7.943820402750111e-12,1.359012706210204e-11,5.174817939890927,1.904935266980982,1.5085967639288749,0.8380519053784986,0.1619480946215014,0.6013707685591384,0.39862923144086165,sub-01,ses-S1,MATB,Low,8,MATBeasy,6
1.595107286478158e-11,6.85212547286586e-12,7.498732937640704e-12,2.945714465182243e-11,2.981646018059056e-12,4.152015837029681e-11,1.8988889729418364e-11,1.9327991180794753e-11,1.2053595868531218e-11,1.2568415041849582e-11,2.690925236714525e-11,2.532279771439995,2.1271690827544263,0.9590386559001952,0.7168967169346463,0.28310328306535376,0.48954554980922954,0.5104544501907704,sub-01,ses-S1,MATB,Medium,0,MATBmed,8
2.320553163908165e-11,8.209342084103007e-12,7.171686706594596e-12,4.1118997189063385e-11,2.5999341014637835e-12,5.3727621514944e-11,2.5277915487465856e-11,2.13279131453183e-11,1.5524444971258513e-11,1.3238640894619043e-11,3.6286427300165514e-11,3.5246820617835968,3.235714635685831,1.1726615363944612,0.7789899961267538,0.2210100038732461,0.5397350285587956,0.4602649714412044,sub-01,ses-S1,MATB,Medium,1,MATBmed,8
2.0410950824273715e-11,9.107341464460222e-12,7.443295695599373e-12,3.6452664664237975e-11,2.9950328548252673e-12,4.8169404697446664e-11,2.938890643429217e-11,2.0360903389211655e-11,1.779944073724534e-11,1.2979413278576063e-11,3.230743105563355e-11,3.948372822494139,2.7421926602138194,1.371359425516195,0.7979133675105814,0.20208663248941858,0.5783009571472612,0.4216990428527388,sub-01,ses-S1,MATB,Medium,2,MATBmed,8
2.6908422856496773e-11,6.961582873702135e-12,7.8044720544134e-12,2.8025234118378507e-11,3.444216378912636e-12,5.51878912060216e-11,2.2416561509001862e-11,2.070298883577584e-11,1.3585145145973444e-11,1.3332407817854446e-11,3.902819500629313e-11,2.8722713532333533,3.447821027340365,1.0189566154570022,0.7417536353269771,0.25824636467302275,0.5046946564655901,0.4953053435344099,sub-01,ses-S1,MATB,Medium,3,MATBmed,8
1.975813337977832e-11,7.699826363726017e-12,8.189900338939001e-12,2.8996338924379604e-11,3.794532028682004e-12,4.780126058165247e-11,2.083142871311401e-11,2.050176810840712e-11,1.3327655942035154e-11,1.3466415097282482e-11,3.177661646629581e-11,2.5435509409156882,2.4124998549540324,0.9896959098434943,0.7177971992857565,0.2822028007142435,0.4974106369456938,0.5025893630543061,sub-01,ses-S1,MATB,Medium,4,MATBmed,8
2.163336840556798e-11,8.43959278766947e-12,9.195696081708673e-12,3.1866853651057047e-11,4.371653054150178e-12,5.4024025325350454e-11,2.3998649279185267e-11,2.234709569240624e-11,1.5107759855461955e-11,1.4832010200579055e-11,3.551507851404618e-11,2.609769729876286,2.3525536526374884,1.0185915227372304,0.7229740191670698,0.27702598083293034,0.504605073024388,0.49539492697561216,sub-01,ses-S1,MATB,Medium,5,MATBmed,8
2.3663758649620032e-11,8.970570194029808e-12,9.711054239026098e-12,3.748524625956955e-11,4.163334664392073e-12,5.62076545152541e-11,3.252612647420498e-11,2.383459953434894e-11,1.9065808599819166e-11,1.576400222273589e-11,3.761114259203464e-11,3.349391906750071,2.4367857564343316,1.209452290759081,0.7700828020468695,0.22991719795313056,0.5473991431349535,0.45260085686504653,sub-01,ses-S1,MATB,Medium,6,MATBmed,8
2.1071067820988552e-11,8.272069060054327e-12,8.769555501836323e-12,3.192552642554219e-11,3.652752084988087e-12,4.702171704823134e-11,2.8153229250463013e-11,2.252814316711585e-11,1.6792566284515194e-11,1.4666093072670408e-11,3.219277463266404e-11,3.2103370854506594,2.402752091206484,1.1449924803632519,0.7624893257464768,0.23751067425352324,0.5337978994543369,0.4662021005456631,sub-01,ses-S1,MATB,Medium,7,MATBmed,8
2.165398002098337e-11,7.824164885115662e-12,9.132101437320935e-12,4.417243901620016e-11,3.685452935956195e-12,5.804133836985157e-11,2.4208272990882487e-11,2.3765301317241935e-11,1.4845925501872872e-11,1.5403472814429938e-11,3.724856217049831e-11,2.6508983892741798,2.3711935494373955,0.9638037915686938,0.7260948146522352,0.27390518534776476,0.4907841586347095,0.5092158413652905,sub-01,ses-S1,MATB,Medium,8,MATBmed,8
3.1014691084500563e-12,3.4400313756809593e-12,3.861740208216861e-12,6.784156858184597e-12,1.288035231347145e-12,1.2509086913486251e-11,2.795603685173389e-11,1.464566851237958e-11,1.394689086541793e-11,8.483423767143741e-12,7.133305310608426e-12,7.239232922051597,0.803127331520352,1.6440167611848144,0.8786294780763406,0.12137052192365945,0.6217875715916836,0.3782124284083163,sub-01,ses-S1,PVT,Low-Medium,0,PVT,8
4.003636597813033e-12,3.974512559149127e-12,3.3147222846631037e-12,5.385179159699668e-12,8.665042747862093e-13,1.651999184151804e-11,3.558758760687823e-11,1.409400914835203e-11,1.752297329389017e-11,7.9344166548155e-12,9.367788845115178e-12,10.736219975814723,1.2078347004626808,2.2084765719046593,0.9147936897859159,0.0852063102140841,0.6883256032608752,0.31167439673912484,sub-01,ses-S1,PVT,Low-Medium,1,PVT,8
4.010940268513626e-12,6.196971907010841e-12,3.747713335407014e-12,7.571990489639543e-12,9.226084889227916e-13,1.4658641209705318e-11,3.880750159242516e-11,1.6776078014230883e-11,2.017291320075983e-11,9.331298197760101e-12,8.574240671881494e-12,10.354981323087387,1.0702366775547483,2.1618549502149835,0.9119329242781966,0.08806707572180338,0.6837299573365923,0.3162700426634078,sub-01,ses-S1,PVT,Low-Medium,2,PVT,8
3.3425368098361406e-12,4.783810924140738e-12,2.9771139854610445e-12,6.540778706493886e-12,7.945135195849879e-13,1.3913161534632932e-11,4.319306035722822e-11,1.2630218440469961e-11,2.1244917824035372e-11,7.114158751893437e-12,7.872804549034765e-12,14.508366346792469,1.1227439816411684,2.9862867227106826,0.9355186756852164,0.06448132431478354,0.7491399717178402,0.2508600282821598,sub-01,ses-S1,PVT,Low-Medium,3,PVT,8
3.815816468675969e-12,3.810634760305023e-12,3.90298972934025e-12,1.1136613914739127e-11,1.7237901417841784e-12,1.4973134622426347e-11,3.935150089668815e-11,1.7118616752461043e-11,1.904243453304065e-11,9.566829882106304e-12,8.597524248854704e-12,10.082399295306374,0.9776650038279715,1.990464424234972,0.9097668317704884,0.09023316822951152,0.6656037798356947,0.33439622016430526,sub-01,ses-S1,PVT,Low-Medium,4,PVT,8
3.749652240615751e-12,4.166220416840938e-12,4.1645522280906094e-12,8.534971179563087e-12,1.545761453195826e-12,1.6308592821535924e-11,3.232561167174018e-11,1.9072559873892044e-11,1.62345309546549e-11,1.055369836200551e-11,9.132055346724396e-12,7.762085790087697,0.9003734459910749,1.538278847640844,0.8858719231976396,0.11412807680236048,0.6060322525519877,0.39396774744801244,sub-01,ses-S1,PVT,Low-Medium,5,PVT,8
3.999461982574467e-12,5.336724080293354e-12,3.73070734248214e-12,8.761003579673314e-12,1.2909365216731508e-12,1.4558669128608594e-11,3.473842765601999e-11,1.600502243852969e-11,1.79374541841762e-11,8.991128097931092e-12,8.52483647373195e-12,9.31148558892523,1.0720385212294667,1.995017086710588,0.9030207634606964,0.09697923653930357,0.6661120884961979,0.33388791150380204,sub-01,ses-S1,PVT,Low-Medium,6,PVT,8
3.7688002465892896e-12,5.623796673455721e-12,4.326762742047076e-12,1.1650848037183562e-11,3.141225704225581e-12,1.495227276280363e-11,3.276622183723586e-11,1.6349810449032663e-11,1.7256264600790067e-11,9.479497473612328e-12,8.561717039252578e-12,7.572918551511221,0.8710438892256422,1.8203775726324727,0.8833536100930619,0.11664638990693799,0.6454375436453978,0.3545624563546022,sub-01,ses-S1,PVT,Low-Medium,7,PVT,8
5.154877769582284e-12,4.336727392633938e-12,3.589537693497512e-12,7.199512065490255e-12,9.75317591518347e-13,1.909053655560899e-11,2.7130215706807796e-11,1.6368956903817286e-11,1.4105365241565593e-11,9.066431640777413e-12,1.1127302963593728e-11,7.558136457503841,1.4360840335847156,1.5557791422730134,0.8831521318962855,0.11684786810371459,0.6087298845742055,0.39127011542579454,sub-01,ses-S1,PVT,Low-Medium,8,PVT,8
2.8368711031705345e-12,6.0789867643436865e-12,3.7751611697977574e-12,6.315367841723991e-12,9.420524735112779e-13,1.7453501640515698e-11,4.650072143236572e-11,1.6585134601677875e-11,2.340258733635313e-11,9.265149783460665e-12,9.101141333461318e-12,12.31754601747423,0.7514569512597818,2.5258725312924115,0.9249110910757973,0.07508890892420264,0.7163822596747564,0.2836177403252434,sub-01,ses-S1,PVT,Low-Medium,9,PVT,8
3.4332328371141997e-12,6.559182041869604e-12,3.2944361272942937e-12,6.824586694513794e-12,9.552472390691039e-13,1.4422037760603863e-11,5.2424122419253437e-11,1.7528122402735927e-11,2.621558506074839e-11,9.394587388197851e-12,8.142720661466911e-12,15.912927248739573,1.0421306422273542,2.790498824214704,0.9408736296625101,0.059126370337489895,0.7361824798330666,0.2638175201669334,sub-01,ses-S1,PVT,Low-Medium,10,PVT,8
2.9571943466428927e-12,5.250001480443315e-12,3.305872358762132e-12,5.630207681328783e-12,9.154186972610964e-13,1.3321335109406584e-11,4.5812205895339715e-11,1.492649781512764e-11,2.263380337254177e-11,8.286140411490207e-12,7.398968959255903e-12,13.857826595729145,0.8945276845928195,2.731525444724057,0.9326954051080762,0.06730459489192371,0.732013082903164,0.267986917096836,sub-01,ses-S1,PVT,Low-Medium,11,PVT,8
4.985402355042482e-12,4.476821115791164e-12,4.4512509395280556e-12,7.599468855483345e-12,2.166837516867331e-12,2.2291834745437516e-11,2.99456780564374e-11,1.527737302992902e-11,1.5392045518925265e-11,9.091017549699897e-12,1.2402444808068924e-11,6.727474694925286,1.1200002926752677,1.6931048075507642,0.8705916176397561,0.12940838236024382,0.6286813653905111,0.37131863460948883,sub-01,ses-S1,PVT,Low-Medium,12,PVT,8
4.643534729888243e-12,5.0824974915375505e-12,5.062808048825336e-12,1.270243815545509e-11,2.107969871793903e-12,1.8450519695906837e-11,3.6120235226234505e-11,2.2860321574846698e-11,1.8384385092121958e-11,1.2690313845691633e-11,1.056081400103907e-11,7.134427155423176,0.9171856181601883,1.4486942809821417,0.8770657133079979,0.12293428669200211,0.5916190895014823,0.40838091049851766,sub-01,ses-S1,PVT,Low-Medium,13,PVT,8
4.470538438913648e-12,5.854710495551146e-12,3.5867418148674624e-12,7.37490447775731e-12,1.0256251383460203e-12,1.7395523304241624e-11,4.369105379861761e-11,1.535352323552425e-11,2.2070286196865342e-11,8.629648138006085e-12,1.0009817666911351e-11,12.181265352725726,1.2464065354196239,2.5574954904203975,0.9241347493400387,0.07586525065996128,0.7189033682002426,0.28109663179975747,sub-01,ses-S1,PVT,Low-Medium,14,PVT,8
4.661603554807767e-12,6.38026765714783e-12,5.564025161149684e-12,1.3094219735781114e-11,2.7567170812056038e-12,1.616358077431831e-11,5.195894217693888e-11,2.1610417132568213e-11,2.591398530848685e-11,1.2441050291757625e-11,9.59102236316943e-12,9.338372971376481,0.8378113721262448,2.082941930204658,0.9032729808869666,0.09672701911303332,0.6756345002146648,0.32436549978533524,sub-01,ses-S1,PVT,Low-Medium,15,PVT,8
